Country,City,City Link,Category,Keyword,Post_title,Link
US,grandforks,https://grandforks.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Grand Forks",https://grandforks.craigslist.org/evg/d/grand-forks-marketing-research/7767471125.html
US,akroncanton,https://akroncanton.craigslist.org,Gigs,Marketing,Marketing Research - Akron Area,https://akroncanton.craigslist.org/evg/d/akron-marketing-research-akron-area/7768911881.html
US,cincinnati,https://cincinnati.craigslist.org,Gigs,Marketing,Marketing Research - Cincinnati Area,https://cincinnati.craigslist.org/evg/d/cincinnati-marketing-research/7767471247.html
US,cincinnati,https://cincinnati.craigslist.org,Gigs,Marketing,"20-32$ hr Hosting, marketing, receptionist, personal assistant",https://cincinnati.craigslist.org/dmg/d/cincinnati-hr-hosting-marketing/7774838653.html
US,cleveland,https://cleveland.craigslist.org,Gigs,Marketing,Marketing Research - Cleveland Area,https://cleveland.craigslist.org/evg/d/cleveland-marketing-research-cleveland/7768911782.html
US,columbus,https://columbus.craigslist.org,Gigs,Marketing,Event Marketing Brand Ambassador - OHIO STATE FAIR,https://columbus.craigslist.org/evg/d/columbus-event-marketing-brand/7771068305.html
US,oklahomacity,https://oklahomacity.craigslist.org,Gigs,Marketing,Hiring now cleaner/ marketing promoter,https://oklahomacity.craigslist.org/lbg/d/oklahoma-city-hiring-now-cleaner/7768378231.html
US,oklahomacity,https://oklahomacity.craigslist.org,Gigs,Marketing,Hiring now cleaner/ marketing promoter,https://oklahomacity.craigslist.org/dmg/d/oklahoma-city-hiring-now-cleaner/7767589817.html
US,tulsa,https://tulsa.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research Experience,https://tulsa.craigslist.org/evg/d/tulsa-need-year-olds-for-paid-marketing/7767471727.html
US,portland,https://portland.craigslist.org,Gigs,Marketing,Expert in AMAZON Book Marketing,https://portland.craigslist.org/mlt/crg/d/portland-expert-in-amazon-book-marketing/7775207773.html
US,portland,https://portland.craigslist.org,Gigs,Marketing,💻Agents Wanted-Job Opportunity: Help Us Test a New Marketing Strategy,https://portland.craigslist.org/mlt/cpg/d/portland-agents-wanted-job-opportunity/7774459116.html
US,portland,https://portland.craigslist.org,Gigs,Marketing,Searching for Brand / Marketing Strategists and Storytellers,https://portland.craigslist.org/wsc/crg/d/portland-searching-for-brand-marketing/7774168143.html
US,portland,https://portland.craigslist.org,Gigs,Marketing,Part Time Marketing Assistant,https://portland.craigslist.org/wsc/crg/d/portland-part-time-marketing-assistant/7772951558.html
US,philadelphia,https://philadelphia.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, King of Prussia",https://philadelphia.craigslist.org/evg/d/king-of-prussia-marketing-research/7772014009.html
US,charleston,https://charleston.craigslist.org,Gigs,Marketing,Marketing Research Opportunity: Mount Pleasant,https://charleston.craigslist.org/evg/d/mount-pleasant-marketing-research/7773467112.html
US,charleston,https://charleston.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research  - Mt Pleasant,https://charleston.craigslist.org/evg/d/mount-pleasant-need-year-olds-for-paid/7771085966.html
US,columbia,https://columbia.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing - Columbia,https://columbia.craigslist.org/evg/d/columbia-need-year-olds-for-paid/7766631677.html
US,greenville,https://greenville.craigslist.org,Gigs,Marketing,Marketing Research Opportunity: Greenville,https://greenville.craigslist.org/evg/d/greenville-marketing-research/7773467167.html
US,csd,https://csd.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Pierre",https://csd.craigslist.org/evg/d/fort-pierre-marketing-research/7769481963.html
